1,Stepper 1-A1,Stepper 1,A1
2,Stepper 1-A2,Stepper 1,A2
3,Stepper 1-B2,Stepper 1,B2
4,Stepper 1-B1,Stepper 1,B1
5,Stepper 2-A1,Stepper 2,A1
6,Stepper 2-A2,Stepper 2,A2
7,Stepper 2-B2,Stepper 2,B2
8,Stepper 2-B1,Stepper 2,B1
9,Stepper 3-A1,Stepper 3,A1
10,Stepper 3-A2,Stepper 3,A2
11,Stepper 3-B2,Stepper 3,B2
12,Stepper 3-B1,Stepper 3,B1
13,Stepper 4-A1,Stepper 4,A1
14,Stepper 4-A2,Stepper 4,A2
15,Stepper 4-B2,Stepper 4,B2
16,Stepper 4-B1,Stepper 4,B1
17,Stepper 5-A1,Stepper 5,A1
18,Stepper 5-A2,Stepper 5,A2
19,Stepper 5-B2,Stepper 5,B2
20,Stepper 5-B1,Stepper 5,B1
21,GND,,
22,Limit 1,,
23,GND,,
24,Limit 2,,
25,GND,,
26,Limit 3,,
27,GND,,
28,Limit 4,,
29,GND,,
30,Limit 5,,
31,Force 1,,
32,Force 2,,
33,Force 3,,
34,Force 4,,
